City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Lagos,NG,80.92,scattered clouds,6.5833,3.75,
527,Hobyo,SO,75.7,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
530,Kapit,MY,76.71,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
531,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
533,Labuan,MY,84.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
534,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
537,Pangkalanbuun,ID,75.9,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
538,Miami,US,75.22,few clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
539,Tambun,ID,83.48,mist,-6.2641,107.0712,Metland Hotel Bekasi
542,Launceston,AU,75.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
545,Galesong,ID,80.62,few clouds,-5.3166,119.3661,Sapriadi Appy
554,Auki,SB,84.81,overcast clouds,-8.7676,160.7034,Auki Motel
555,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
560,Ballina,AU,77.04,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
569,Mananjary,MG,76.42,light rain,-21.2167,48.3333,Vahiny Lodge
570,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
571,Galle,LK,79.23,overcast clouds,6.0367,80.217,Amangalla
579,Port Keats,AU,86.85,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
580,Sibolga,ID,80.94,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
584,Bima,ID,85.95,scattered clouds,-8.4667,118.7167,Lambitu Hotel
593,Biloela,AU,85.62,few clouds,-24.4167,150.5,Biloela Silo Motor Inn
594,Flinders,AU,76.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
600,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
617,Puerto Suarez,BO,75.04,overcast clouds,-18.95,-57.8,Hotel casa real
619,Itacare,BR,82.29,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
621,Mayumba,GA,76.28,broken clouds,-3.432,10.6554,LIKWALE LODGE
622,Manaus,BR,79.3,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
623,Ahipara,NZ,75.16,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
624,Benguela,AO,76.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
627,Gamba,GA,76.3,few clouds,-2.65,10.0,
629,Denpasar,ID,85.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
630,Takoradi,GH,79.05,overcast clouds,4.8845,-1.7554,Raybow International Hotel
634,Siocon,PH,84.99,overcast clouds,7.7061,122.1353,ABS Hotel
653,Inhambane,MZ,76.73,broken clouds,-23.865,35.3833,Oceano
655,Mana,GF,77.86,overcast clouds,5.6592,-53.7767,LE SAMANA
674,Inirida,CO,77.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
