City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Alofi,NU,2022-02-07 00:12:43,-19.0595,-169.9187,80.2,77,100,13.06
201,Nowy Dwor Gdanski,PL,2022-02-07 00:12:43,54.2131,19.1177,39.2,95,100,15.99
202,Meulaboh,ID,2022-02-07 00:12:44,4.1363,96.1285,74.34,92,100,5.01
203,Mareeba,AU,2022-02-07 00:12:44,-17.0,145.4333,81.66,85,74,4.09
204,Chuy,UY,2022-02-07 00:12:45,-33.6971,-53.4616,64.17,59,5,13.96
205,Traverse City,US,2022-02-07 00:12:45,44.7631,-85.6206,35.38,81,100,9.66
206,Kodinsk,RU,2022-02-07 00:12:46,58.6881,99.1844,10.98,97,100,1.01
207,Touros,BR,2022-02-07 00:12:46,-5.1989,-35.4608,80.04,73,2,11.41
208,Vila Franca Do Campo,PT,2022-02-07 00:12:47,37.7167,-25.4333,60.19,85,78,12.53
209,Sorland,NO,2022-02-07 00:08:21,67.667,12.6934,36.12,62,100,9.48
210,Rocha,UY,2022-02-07 00:12:48,-34.4833,-54.3333,62.87,84,50,20.49
211,Thompson,CA,2022-02-07 00:12:45,55.7435,-97.8558,-6.86,93,32,7.29
212,Barcelona,ES,2022-02-07 00:11:11,41.3888,2.159,50.97,66,20,3.0
213,Haines Junction,CA,2022-02-07 00:12:48,60.7522,-137.5108,33.39,89,78,9.51
214,Te Anau,NZ,2022-02-07 00:12:49,-45.4167,167.7167,61.68,51,48,2.37
215,Mount Gambier,AU,2022-02-07 00:12:11,-37.8333,140.7667,82.08,23,0,8.48
216,West Wendover,US,2022-02-07 00:12:50,40.7391,-114.0733,38.88,47,2,4.72
217,Baherden,TM,2022-02-07 00:09:47,38.4362,57.4316,37.58,67,92,6.22
218,Presidencia Roque Saenz Pena,AR,2022-02-07 00:10:47,-26.7852,-60.4388,72.52,42,0,6.17
219,Balkhash,KZ,2022-02-07 00:12:50,46.844,74.9804,15.76,94,100,6.26
220,Sandusky,US,2022-02-07 00:07:56,41.3501,-83.1332,29.41,68,35,4.0
221,Hithadhoo,MV,2022-02-07 00:05:49,-0.6,73.0833,81.99,72,31,14.14
222,Saint-Augustin,CA,2022-02-07 00:13:51,51.226,-58.6502,-22.72,91,3,5.53
223,Brae,GB,2022-02-07 00:13:52,60.3964,-1.353,39.11,52,73,35.23
224,Abha,SA,2022-02-07 00:13:52,18.2164,42.5053,48.45,50,4,0.0
225,Kiunga,PG,2022-02-07 00:13:52,-6.1219,141.2906,83.71,74,95,0.92
226,Baleshwar,IN,2022-02-07 00:13:53,21.4942,86.9317,59.99,71,67,2.3
227,Codrington,AU,2022-02-07 00:13:53,-38.2667,141.9667,79.03,32,0,5.57
228,Tuktoyaktuk,CA,2022-02-07 00:08:56,69.4541,-133.0374,-19.35,98,100,14.38
229,Hualmay,PE,2022-02-07 00:10:58,-11.0964,-77.6139,71.04,78,88,7.16
230,Krasnoselkup,RU,2022-02-07 00:13:34,65.7,82.4667,-21.53,100,37,7.7
231,La Ronge,CA,2022-02-07 00:13:54,55.1001,-105.2842,16.47,96,99,6.8
232,Furstenwalde,DE,2022-02-07 00:13:55,52.3667,14.0667,40.95,88,100,14.07
233,Aklavik,CA,2022-02-07 00:11:45,68.2191,-135.0107,-17.95,91,100,19.15
234,Tura,IN,2022-02-07 00:13:55,25.5198,90.2201,51.13,79,0,3.11
235,Cajamarca,PE,2022-02-07 00:13:56,-7.1638,-78.5003,54.39,99,100,3.13
236,Capreol,CA,2022-02-07 00:13:56,46.706,-80.9225,25.56,93,100,1.01
237,Goderich,CA,2022-02-07 00:13:57,43.7501,-81.7165,29.21,85,100,17.63
238,Nanakuli,US,2022-02-07 00:13:57,21.3906,-158.1547,84.15,51,20,6.91
239,Pingxiang,CN,2022-02-07 00:13:58,27.6167,113.85,36.01,98,100,1.01
240,Wilmington,US,2022-02-07 00:10:12,34.2257,-77.9447,48.94,71,100,8.05
241,Kismayo,SO,2022-02-07 00:10:13,-0.3582,42.5454,77.58,83,96,15.61
242,Tual,ID,2022-02-07 00:13:58,-5.6667,132.75,82.78,75,98,4.0
243,Kahului,US,2022-02-07 00:13:59,20.8947,-156.47,82.42,59,20,26.46
244,Paka,MY,2022-02-07 00:13:59,4.6374,103.4368,75.81,92,100,7.16
245,Cabedelo,BR,2022-02-07 00:14:00,-6.9811,-34.8339,79.72,71,5,13.47
